Mfr Name,Division,Model,Mfr Model Index,Engine Displacement (liters), Cylinders,Transmission, Gears,City Mileage (mpg),Highway Mileage (mpg),Combined Mileage (mpg),Hybrid or Guzzler?,Air Aspiration Method,Transmission Desc,Drive Wheels,Fuel Usage,Fuel Metering System
Volkswagen Group,Volkswagen,Golf,40,1.8,4,M,5,25,36,29,No,Turbocharged,Manual,Front Wheel Drive,Gasoline (Regular Unleaded Recommended),GDI (Spark Ignition Direct Injection)
Volkswagen Group,Volkswagen,Golf R,22,2,4,A,6,23,30,25,No,Turbocharged,Automated Manual,All Wheel Drive,Gasoline (Premium Unleaded Recommended),GDI (Spark Ignition Direct Injection)
Volkswagen Group,Volkswagen,Golf R,23,2,4,M,6,22,31,25,No,Turbocharged,Manual,All Wheel Drive,Gasoline (Premium Unleaded Recommended),GDI (Spark Ignition Direct Injection)
Volkswagen Group,Volkswagen,GTI,27,2,4,A,6,24,32,27,No,Turbocharged,Automated Manual,Front Wheel Drive,Gasoline (Regular Unleaded Recommended),GDI (Spark Ignition Direct Injection)
Volkswagen Group,Volkswagen,GTI,28,2,4,M,6,24,34,28,No,Turbocharged,Manual,Front Wheel Drive,Gasoline (Regular Unleaded Recommended),GDI (Spark Ignition Direct Injection)
Volkswagen Group,Volkswagen,Jetta,32,1.4,4,A,6,28,38,32,No,Turbocharged,Automatic - Selectable,Front Wheel Drive,Gasoline (Regular Unleaded Recommended),GDI (Spark Ignition Direct Injection)
Volkswagen Group,Volkswagen,Jetta,33,1.4,4,M,5,28,40,33,No,Turbocharged,Manual,Front Wheel Drive,Gasoline (Regular Unleaded Recommended),GDI (Spark Ignition Direct Injection)
Volkswagen Group,Volkswagen,Jetta,31,1.8,4,A,6,25,35,29,No,Turbocharged,Automatic - Selectable,Front Wheel Drive,Gasoline (Regular Unleaded Recommended),GDI (Spark Ignition Direct Injection)
Volkswagen Group,Volkswagen,Jetta,29,2,4,A,6,24,33,27,No,Turbocharged,Automated Manual,Front Wheel Drive,Gasoline (Regular Unleaded Recommended),GDI (Spark Ignition Direct Injection)
Volkswagen Group,Volkswagen,Jetta,30,2,4,M,6,23,33,27,No,Turbocharged,Manual,Front Wheel Drive,Gasoline (Regular Unleaded Recommended),GDI (Spark Ignition Direct Injection)
Volvo,Volvo,S60 AWD,107,2,4,A,8,23,31,26,No,Turbocharged,Automatic - Selectable,All Wheel Drive,Gasoline (Regular Unleaded Recommended),GDI (Spark Ignition Direct Injection)
Volvo,Volvo,S60 AWD,101,2,4,A,8,22,32,26,No,Turbocharged+Supercharged,Automatic - Selectable,All Wheel Drive,Gasoline (Premium Unleaded Required),GDI (Spark Ignition Direct Injection)
Volvo,Volvo,S60 CC AWD,116,2,4,A,8,22,30,25,No,Turbocharged,Automatic - Selectable,All Wheel Drive,Gasoline (Regular Unleaded Recommended),GDI (Spark Ignition Direct Injection)
Volvo,Volvo,S60 FWD,87,2,4,A,8,25,36,29,No,Turbocharged,Automatic - Selectable,Front Wheel Drive,Gasoline (Regular Unleaded Recommended),GDI (Spark Ignition Direct Injection)
Volvo,Volvo,S60 Inscription AWD,106,2,4,A,8,23,31,26,No,Turbocharged,Automatic - Selectable,All Wheel Drive,Gasoline (Regular Unleaded Recommended),GDI (Spark Ignition Direct Injection)
Volvo,Volvo,S60 Inscription FWD,32,2,4,A,8,25,36,29,No,Turbocharged,Automatic - Selectable,Front Wheel Drive,Gasoline (Regular Unleaded Recommended),GDI (Spark Ignition Direct Injection)
Volvo,Volvo,S60 Polestar AWD,111,2,4,A,8,20,27,23,No,Turbocharged+Supercharged,Automatic - Selectable,All Wheel Drive,Gasoline (Premium Unleaded Required),GDI (Spark Ignition Direct Injection)
Honda,Acura,RLX,25,3.5,6,A,7,29,30,29,No,Naturally Aspirated,Automated Manual,All Wheel Drive,Gasoline (Premium Unleaded Recommended),GDI (Spark Ignition Direct Injection)
Honda,Acura,RLX,24,3.5,6,A,6,20,30,23,No,Naturally Aspirated,Automatic - Selectable,Front Wheel Drive,Gasoline (Premium Unleaded Recommended),GDI (Spark Ignition Direct Injection)
FCA US LLC,Alfa Romeo,Giulia,33,2,4,A,8,24,33,27,No,Turbocharged,Automatic,Rear Wheel Drive,Gasoline (Premium Unleaded Recommended),GDI (Spark Ignition Direct Injection)
FCA US LLC,Alfa Romeo,Giulia,32,2.9,6,A,8,17,24,20,No,Turbocharged,Automatic,Rear Wheel Drive,Gasoline (Premium Unleaded Recommended),GDI (Spark Ignition Direct Injection)
FCA US LLC,Alfa Romeo,Giulia AWD,35,2,4,A,8,23,31,26,No,Turbocharged,Automatic,All Wheel Drive,Gasoline (Premium Unleaded Recommended),GDI (Spark Ignition Direct Injection)
Volkswagen Group,Audi,A6,51,2,4,A,7,24,34,28,No,Turbocharged,Automated Manual,Front Wheel Drive,Gasoline (Premium Unleaded Recommended),GDI (Spark Ignition Direct Injection)
Volkswagen Group,Audi,A6 quattro,50,2,4,A,8,22,31,25,No,Turbocharged,Automatic - Selectable,All Wheel Drive,Gasoline (Premium Unleaded Recommended),GDI (Spark Ignition Direct Injection)
Volkswagen Group,Audi,A6 quattro,12,3,6,A,8,21,29,24,No,Supercharged,Automatic - Selectable,All Wheel Drive,Gasoline (Premium Unleaded Recommended),GDI (Spark Ignition Direct Injection)
Volkswagen Group,Audi,A7 quattro,13,3,6,A,8,21,29,24,No,Supercharged,Automatic - Selectable,All Wheel Drive,Gasoline (Premium Unleaded Recommended),GDI (Spark Ignition Direct Injection)
Volkswagen Group,Audi,RS7,73,4,8,A,8,15,25,18,No,Turbocharged,Automatic - Selectable,All Wheel Drive,Gasoline (Premium Unleaded Recommended),GDI (Spark Ignition Direct Injection)
Volkswagen Group,Audi,S6,71,4,8,A,7,18,27,21,No,Turbocharged,Automated Manual,All Wheel Drive,Gasoline (Premium Unleaded Recommended),GDI (Spark Ignition Direct Injection)
Volkswagen Group,Audi,S7,72,4,8,A,7,17,27,21,No,Turbocharged,Automated Manual,All Wheel Drive,Gasoline (Premium Unleaded Recommended),GDI (Spark Ignition Direct Injection)
Volkswagen Group,Audi,S8,70,4,8,A,8,15,24,18,No,Turbocharged,Automatic - Selectable,All Wheel Drive,Gasoline (Premium Unleaded Recommended),GDI (Spark Ignition Direct Injection)
Volkswagen Group,Bentley,Flying Spur,77,4,8,A,8,14,24,17,Guzzler Tax,Turbocharged,Automatic - Selectable,All Wheel Drive,Gasoline (Premium Unleaded Recommended),GDI (Spark Ignition Direct Injection)
Volkswagen Group,Bentley,Flying Spur,80,6,12,A,8,12,20,15,Guzzler Tax,Turbocharged,Automatic - Selectable,All Wheel Drive,Gasoline (Premium Unleaded Recommended),MFI (Multipoint/sequential fuel injection)
Volkswagen Group,Bentley,Mulsanne,82,6.8,8,A,8,11,18,14,Guzzler Tax,Turbocharged,Automatic - Selectable,Rear Wheel Drive,Gasoline (Premium Unleaded Recommended),MFI (Multipoint/sequential fuel injection)
Volkswagen Group,Bentley,Mulsanne EWB,85,6.8,8,A,8,11,17,13,Guzzler Tax,Turbocharged,Automatic - Selectable,Rear Wheel Drive,Gasoline (Premium Unleaded Recommended),MFI (Multipoint/sequential fuel injection)
BMW,BMW,530i,530,2,4,A,8,24,34,27,No,Turbocharged,Automatic - Selectable,Rear Wheel Drive,Gasoline (Premium Unleaded Recommended),GDI (Spark Ignition Direct Injection)
BMW,BMW,530i xDrive,532,2,4,A,8,23,33,27,No,Turbocharged,Automatic - Selectable,All Wheel Drive,Gasoline (Premium Unleaded Recommended),GDI (Spark Ignition Direct Injection)
BMW,BMW,540i,535,3,6,A,8,20,30,24,No,Turbocharged,Automatic - Selectable,Rear Wheel Drive,Gasoline (Premium Unleaded Recommended),GDI (Spark Ignition Direct Injection)
BMW,BMW,540i xDrive,537,3,6,A,8,20,29,23,No,Turbocharged,Automatic - Selectable,All Wheel Drive,Gasoline (Premium Unleaded Recommended),GDI (Spark Ignition Direct Injection)
General Motors,Buick,LACROSSE,4,3.6,6,A,8,21,31,25,No,Naturally Aspirated,Automatic - Selectable,Front Wheel Drive,Gasoline (Regular Unleaded Recommended),GDI (Spark Ignition Direct Injection)
General Motors,Buick,LACROSSE AWD,5,3.6,6,A,8,20,29,23,No,Naturally Aspirated,Automatic - Selectable,All Wheel Drive,Gasoline (Regular Unleaded Recommended),GDI (Spark Ignition Direct Injection)
General Motors,Buick,REGAL,138,2,4,A,6,21,29,24,No,Turbocharged,Automatic - Selectable,Front Wheel Drive,Gasoline (Premium Unleaded Required),GDI (Spark Ignition Direct Injection)
General Motors,Buick,REGAL,151,2.4,4,A,6,19,30,23,No,Naturally Aspirated,Automatic - Selectable,Front Wheel Drive,Gasoline (Regular Unleaded Recommended),GDI (Spark Ignition Direct Injection)
General Motors,Buick,REGAL AWD,155,2,4,A,6,19,27,22,No,Turbocharged,Automatic - Selectable,All Wheel Drive,Gasoline (Premium Unleaded Required),GDI (Spark Ignition Direct Injection)
General Motors,Cadillac,CTS,177,2,4,A,8,22,30,25,No,Turbocharged,Automatic - Selectable,Rear Wheel Drive,Gasoline (Premium Unleaded Required),GDI (Spark Ignition Direct Injection)
General Motors,Cadillac,CTS,42,3.6,6,A,8,20,30,24,No,Naturally Aspirated,Automatic - Selectable,Rear Wheel Drive,Gasoline (Regular Unleaded Recommended),GDI (Spark Ignition Direct Injection)
General Motors,Cadillac,CTS,216,3.6,6,A,8,16,24,18,No,Turbocharged,Automatic - Selectable,Rear Wheel Drive,Gasoline (Premium Unleaded Required),GDI (Spark Ignition Direct Injection)
General Motors,Cadillac,CTS AWD,222,2,4,A,8,21,29,24,No,Turbocharged,Automatic - Selectable,All Wheel Drive,Gasoline (Premium Unleaded Required),GDI (Spark Ignition Direct Injection)
General Motors,Cadillac,CTS AWD,187,3.6,6,A,8,19,27,22,No,Naturally Aspirated,Automatic - Selectable,All Wheel Drive,Gasoline (Regular Unleaded Recommended),GDI (Spark Ignition Direct Injection)
General Motors,Cadillac,CTS-V,238,6.2,8,A,8,14,21,17,Guzzler Tax,Supercharged,Automatic - Selectable,Rear Wheel Drive,Gasoline (Premium Unleaded Required),GDI (Spark Ignition Direct Injection)
General Motors,Chevrolet,CRUZE HATCHBACK,207,1.4,4,A,6,29,38,32,No,Turbocharged,Automatic - Selectable,Front Wheel Drive,Gasoline (Regular Unleaded Recommended),GDI (Spark Ignition Direct Injection)
General Motors,Chevrolet,CRUZE HATCHBACK,210,1.4,4,M,6,28,37,31,No,Turbocharged,Manual,Front Wheel Drive,Gasoline (Regular Unleaded Recommended),GDI (Spark Ignition Direct Injection)
General Motors,Chevrolet,CRUZE PREMIER HATCHBACK,208,1.4,4,A,6,28,37,31,No,Turbocharged,Automatic - Selectable,Front Wheel Drive,Gasoline (Regular Unleaded Recommended),GDI (Spark Ignition Direct Injection)
General Motors,Chevrolet,MALIBU,213,1.5,4,A,6,27,36,30,No,Turbocharged,Automatic,Front Wheel Drive,Gasoline (Regular Unleaded Recommended),GDI (Spark Ignition Direct Injection)
General Motors,Chevrolet,MALIBU HYBRID,277,1.8,4,C,0,49,43,46,Hybrid,Naturally Aspirated,Continuously Variable,Front Wheel Drive,Gasoline (Regular Unleaded Recommended),GDI (Spark Ignition Direct Injection)
General Motors,Chevrolet,MALIBU,215,2,4,A,9,22,33,26,No,Turbocharged,Automatic,Front Wheel Drive,Gasoline (Premium Unleaded Required),GDI (Spark Ignition Direct Injection)
FCA US LLC,Chrysler,200,2,2.4,4,A,9,23,36,27,No,Naturally Aspirated,Automatic,Front Wheel Drive,Gasoline (Regular Unleaded Recommended),MFI (Multipoint/sequential fuel injection)
FCA US LLC,Chrysler,200,1,2.4,4,A,9,23,36,27,No,Naturally Aspirated,Automatic,Front Wheel Drive,Gasoline (Regular Unleaded Recommended),MFI (Multipoint/sequential fuel injection)
FCA US LLC,Chrysler,200,68,3.6,6,A,9,19,31,23,No,Naturally Aspirated,Automatic,Front Wheel Drive,Gasoline (Regular Unleaded Recommended),MFI (Multipoint/sequential fuel injection)
FCA US LLC,Chrysler,200 AWD,71,3.6,6,A,9,18,28,22,No,Naturally Aspirated,Automatic,All Wheel Drive,Gasoline (Regular Unleaded Recommended),MFI (Multipoint/sequential fuel injection)
FCA US LLC,Dodge,Challenger,709,3.6,6,A,8,19,30,23,No,Naturally Aspirated,Automatic,Rear Wheel Drive,Gasoline (Regular Unleaded Recommended),MFI (Multipoint/sequential fuel injection)
FCA US LLC,Dodge,Challenger,733,5.7,8,A,8,16,25,19,No,Naturally Aspirated,Automatic,Rear Wheel Drive,Gasoline (Mid Grade Unleaded Recommended),MFI (Multipoint/sequential fuel injection)
FCA US LLC,Dodge,Challenger,735,5.7,8,M,6,15,23,18,No,Naturally Aspirated,Manual,Rear Wheel Drive,Gasoline (Premium Unleaded Recommended),MFI (Multipoint/sequential fuel injection)
FCA US LLC,Dodge,Challenger,734,6.4,8,A,8,15,25,18,No,Naturally Aspirated,Automatic,Rear Wheel Drive,Gasoline (Premium Unleaded Recommended),MFI (Multipoint/sequential fuel injection)
FCA US LLC,Dodge,Challenger,736,6.4,8,M,6,14,23,17,Guzzler Tax,Naturally Aspirated,Manual,Rear Wheel Drive,Gasoline (Premium Unleaded Recommended),MFI (Multipoint/sequential fuel injection)
FCA US LLC,Dodge,Challenger GT,711,3.6,6,A,8,18,27,21,No,Naturally Aspirated,Automatic,All Wheel Drive,Gasoline (Regular Unleaded Recommended),MFI (Multipoint/sequential fuel injection)
