Mfr Name,Division,Model,Mfr Model Index,Engine Displacement (liters), Cylinders,Transmission, Gears,City Mileage (mpg),Highway Mileage (mpg),Combined Mileage (mpg),Hybrid or Guzzler?,Air Aspiration Method,Transmission Desc,Drive Wheels,Fuel Usage,Fuel Metering System
Honda,Acura,NSX,3,3.5,6,A,9,21,22,21,No,Turbocharged,Automated Manual,All Wheel Drive,Gasoline (Premium Unleaded Required),GDI (Spark Ignition Direct Injection)
FCA US LLC,Alfa Romeo,4C,36,1.8,4,A,6,24,34,28,No,Turbocharged,Automated Manual,Rear Wheel Drive,Gasoline (Premium Unleaded Recommended),GDI (Spark Ignition Direct Injection)
Aston Martin,Aston Martin,V12 Vantage S,2,6,12,A,7,12,18,14,Guzzler Tax,Naturally Aspirated,Automated Manual,Rear Wheel Drive,Gasoline (Premium Unleaded Recommended),MFI (Multipoint/sequential fuel injection)
Aston Martin,Aston Martin,V12 Vantage S,3,6,12,M,7,10,16,12,Guzzler Tax,Naturally Aspirated,Manual,Rear Wheel Drive,Gasoline (Premium Unleaded Recommended),MFI (Multipoint/sequential fuel injection)
Volkswagen Group,Audi,R8,3,5.2,10,A,7,14,22,17,Guzzler Tax,Naturally Aspirated,Automated Manual,All Wheel Drive,Gasoline (Premium Unleaded Recommended),GDPI (Spark Ignition direct & ported injection)
Volkswagen Group,Audi,R8 Spyder,4,5.2,10,A,7,14,22,17,Guzzler Tax,Naturally Aspirated,Automated Manual,All Wheel Drive,Gasoline (Premium Unleaded Recommended),GDPI (Spark Ignition direct & ported injection)
Volkswagen Group,Audi,TT Roadster quattro,61,2,4,A,6,23,30,26,No,Turbocharged,Automated Manual,All Wheel Drive,Gasoline (Regular Unleaded Recommended),GDI (Spark Ignition Direct Injection)
General Motors,Chevrolet,CORVETTE,228,6.2,8,A,8,13,23,16,Guzzler Tax,Supercharged,Automatic - Selectable,Rear Wheel Drive,Gasoline (Premium Unleaded Required),GDI (Spark Ignition Direct Injection)
General Motors,Chevrolet,CORVETTE,189,6.2,8,A,8,15,26,19,No,Naturally Aspirated,Automatic - Selectable,Rear Wheel Drive,Gasoline (Premium Unleaded Required),GDI (Spark Ignition Direct Injection)
General Motors,Chevrolet,CORVETTE,223,6.2,8,M,7,15,22,18,No,Supercharged,Manual,Rear Wheel Drive,Gasoline (Premium Unleaded Required),GDI (Spark Ignition Direct Injection)
General Motors,Chevrolet,CORVETTE,190,6.2,8,M,7,16,25,19,No,Naturally Aspirated,Manual,Rear Wheel Drive,Gasoline (Premium Unleaded Required),GDI (Spark Ignition Direct Injection)
FCA US LLC,Dodge,Viper,66,8.4,10,M,6,12,19,14,Guzzler Tax,Naturally Aspirated,Manual,Rear Wheel Drive,Gasoline (Premium Unleaded Required),MFI (Multipoint/sequential fuel injection)
Ferrari,Ferrari,488 gtb,143,3.9,8,A,7,16,22,18,No,Turbocharged,Automated Manual,Rear Wheel Drive,Gasoline (Premium Unleaded Required),GDI (Spark Ignition Direct Injection)
Ferrari,Ferrari,488 gtb,142,3.9,8,A,7,15,22,18,No,Turbocharged,Automated Manual,Rear Wheel Drive,Gasoline (Premium Unleaded Required),GDI (Spark Ignition Direct Injection)
Ferrari,Ferrari,488 Spider,145,3.9,8,A,7,16,22,18,No,Turbocharged,Automated Manual,Rear Wheel Drive,Gasoline (Premium Unleaded Required),GDI (Spark Ignition Direct Injection)
Ferrari,Ferrari,488 Spider,144,3.9,8,A,7,15,22,18,No,Turbocharged,Automated Manual,Rear Wheel Drive,Gasoline (Premium Unleaded Required),GDI (Spark Ignition Direct Injection)
Ferrari,Ferrari,F12 Berlinetta,153,6.3,12,A,7,12,16,13,Guzzler Tax,Naturally Aspirated,Automated Manual,Rear Wheel Drive,Gasoline (Premium Unleaded Required),GDI (Spark Ignition Direct Injection)
Ferrari,Ferrari,F12 Berlinetta,154,6.3,12,A,7,12,16,13,Guzzler Tax,Naturally Aspirated,Automated Manual,Rear Wheel Drive,Gasoline (Premium Unleaded Required),GDI (Spark Ignition Direct Injection)
Ferrari,Ferrari,F12 tdf,156,6.3,12,A,7,11,15,13,Guzzler Tax,Naturally Aspirated,Automated Manual,Rear Wheel Drive,Gasoline (Premium Unleaded Required),GDI (Spark Ignition Direct Injection)
Ferrari,Ferrari,F12 tdf,155,6.3,12,A,7,11,15,12,Guzzler Tax,Naturally Aspirated,Automated Manual,Rear Wheel Drive,Gasoline (Premium Unleaded Required),GDI (Spark Ignition Direct Injection)
Ferrari,Ferrari,LaFerrari Aperta,999,6.3,12,A,7,12,15,13,Guzzler Tax,Naturally Aspirated,Automated Manual,4 Wheel Drive,Gasoline (Premium Unleaded Required),GDI (Spark Ignition Direct Injection)
FCA US LLC,Fiat,124 Spider,24,1.4,4,A,6,25,36,29,No,Turbocharged,Automatic,Rear Wheel Drive,Gasoline (Premium Unleaded Recommended),MFI (Multipoint/sequential fuel injection)
FCA US LLC,Fiat,124 Spider,25,1.4,4,M,6,26,35,30,No,Turbocharged,Manual,Rear Wheel Drive,Gasoline (Premium Unleaded Recommended),MFI (Multipoint/sequential fuel injection)
Ford Motor Company,Ford,Ford GT,343,3.5,6,A,7,11,18,14,Guzzler Tax,Turbocharged,Automated Manual,Rear Wheel Drive,Gasoline (Premium Unleaded Required),GDPI (Spark Ignition direct & ported injection)
Jaguar Land Rover L,Jaguar,F-TYPE Convertible,161,3,6,A,8,20,28,23,No,Supercharged,Automatic - Selectable,Rear Wheel Drive,Gasoline (Premium Unleaded Recommended),GDI (Spark Ignition Direct Injection)
Jaguar Land Rover L,Jaguar,F-TYPE Convertible Manual,171,3,6,M,6,16,24,19,No,Supercharged,Manual,Rear Wheel Drive,Gasoline (Premium Unleaded Recommended),GDI (Spark Ignition Direct Injection)
Jaguar Land Rover L,Jaguar,F-TYPE Coupe,160,3,6,A,8,20,28,23,No,Supercharged,Automatic - Selectable,Rear Wheel Drive,Gasoline (Premium Unleaded Recommended),GDI (Spark Ignition Direct Injection)
Jaguar Land Rover L,Jaguar,F-TYPE Coupe Manual,170,3,6,M,6,16,24,19,No,Supercharged,Manual,Rear Wheel Drive,Gasoline (Premium Unleaded Recommended),GDI (Spark Ignition Direct Injection)
Jaguar Land Rover L,Jaguar,F-TYPE R AWD Convertible,159,5,8,A,8,15,23,18,No,Supercharged,Automatic - Selectable,All Wheel Drive,Gasoline (Premium Unleaded Recommended),GDI (Spark Ignition Direct Injection)
Jaguar Land Rover L,Jaguar,F-TYPE R AWD Coupe,158,5,8,A,8,15,23,18,No,Supercharged,Automatic - Selectable,All Wheel Drive,Gasoline (Premium Unleaded Recommended),GDI (Spark Ignition Direct Injection)
Jaguar Land Rover L,Jaguar,F-TYPE S AWD Convertible,165,3,6,A,8,18,26,21,No,Supercharged,Automatic - Selectable,All Wheel Drive,Gasoline (Premium Unleaded Recommended),GDI (Spark Ignition Direct Injection)
Jaguar Land Rover L,Jaguar,F-TYPE S AWD Coupe,164,3,6,A,8,18,26,21,No,Supercharged,Automatic - Selectable,All Wheel Drive,Gasoline (Premium Unleaded Recommended),GDI (Spark Ignition Direct Injection)
Jaguar Land Rover L,Jaguar,F-TYPE S Convertible,163,3,6,A,8,19,27,22,No,Supercharged,Automatic - Selectable,Rear Wheel Drive,Gasoline (Premium Unleaded Recommended),GDI (Spark Ignition Direct Injection)
Jaguar Land Rover L,Jaguar,F-TYPE S Convertible Manual,173,3,6,M,6,15,24,18,No,Supercharged,Manual,Rear Wheel Drive,Gasoline (Premium Unleaded Recommended),GDI (Spark Ignition Direct Injection)
Jaguar Land Rover L,Jaguar,F-TYPE S Coupe,162,3,6,A,8,19,27,22,No,Supercharged,Automatic - Selectable,Rear Wheel Drive,Gasoline (Premium Unleaded Recommended),GDI (Spark Ignition Direct Injection)
Jaguar Land Rover L,Jaguar,F-TYPE S Coupe Manual,172,3,6,M,6,15,24,18,No,Supercharged,Manual,Rear Wheel Drive,Gasoline (Premium Unleaded Recommended),GDI (Spark Ignition Direct Injection)
Volkswagen Group,Lamborghini,Aventador Coupe,17,6.5,12,A,7,11,18,13,Guzzler Tax,Naturally Aspirated,Automated Manual,All Wheel Drive,Gasoline (Premium Unleaded Required),MFI (Multipoint/sequential fuel injection)
Volkswagen Group,Lamborghini,Aventador Coupe LP740-4,89,6.5,12,A,7,10,16,12,Guzzler Tax,Naturally Aspirated,Automated Manual,All Wheel Drive,Gasoline (Premium Unleaded Required),MFI (Multipoint/sequential fuel injection)
Volkswagen Group,Lamborghini,Aventador Roadster,18,6.5,12,A,7,10,18,13,Guzzler Tax,Naturally Aspirated,Automated Manual,All Wheel Drive,Gasoline (Premium Unleaded Required),MFI (Multipoint/sequential fuel injection)
Volkswagen Group,Lamborghini,Aventador Roadster LP740-4,88,6.5,12,A,7,10,16,12,Guzzler Tax,Naturally Aspirated,Automated Manual,All Wheel Drive,Gasoline (Premium Unleaded Required),MFI (Multipoint/sequential fuel injection)
Volkswagen Group,Lamborghini,Huracan,7,5.2,10,A,7,14,21,17,Guzzler Tax,Naturally Aspirated,Automated Manual,All Wheel Drive,Gasoline (Premium Unleaded Recommended),GDPI (Spark Ignition direct & ported injection)
Volkswagen Group,Lamborghini,Huracan 2WD,8,5.2,10,A,7,14,21,17,Guzzler Tax,Naturally Aspirated,Automated Manual,Rear Wheel Drive,Gasoline (Premium Unleaded Recommended),GDPI (Spark Ignition direct & ported injection)
Volkswagen Group,Lamborghini,Huracan Spyder,9,5.2,10,A,7,14,20,16,Guzzler Tax,Naturally Aspirated,Automated Manual,All Wheel Drive,Gasoline (Premium Unleaded Recommended),GDPI (Spark Ignition direct & ported injection)
Volkswagen Group,Lamborghini,Huracan Spyder 2WD,10,5.2,10,A,7,14,20,16,Guzzler Tax,Naturally Aspirated,Automated Manual,Rear Wheel Drive,Gasoline (Premium Unleaded Recommended),GDPI (Spark Ignition direct & ported injection)
Mazda,Mazda,MX-5,19,2,4,A,6,26,35,29,No,Naturally Aspirated,Automatic - Selectable,Rear Wheel Drive,Gasoline (Premium Unleaded Recommended),GDI (Spark Ignition Direct Injection)
Mazda,Mazda,MX-5,18,2,4,M,6,26,33,29,No,Naturally Aspirated,Manual,Rear Wheel Drive,Gasoline (Premium Unleaded Recommended),GDI (Spark Ignition Direct Injection)
McLaren,McLaren,570GT,2,3.8,8,A,7,16,23,19,No,Turbocharged,Automatic,Rear Wheel Drive,Gasoline (Premium Unleaded Recommended),MFI (Multipoint/sequential fuel injection)
McLaren,McLaren,570S Coupe,1,3.8,8,A,7,16,23,19,No,Turbocharged,Automatic,Rear Wheel Drive,Gasoline (Premium Unleaded Recommended),MFI (Multipoint/sequential fuel injection)
Mercedes-Benz,Mercedes-Benz,AMG GT,191,4,8,A,7,16,22,18,No,Turbocharged,Automated Manual,Rear Wheel Drive,Gasoline (Premium Unleaded Required),GDI (Spark Ignition Direct Injection)
Mercedes-Benz,Mercedes-Benz,AMG GT S,190,4,8,A,7,16,22,18,No,Turbocharged,Automated Manual,Rear Wheel Drive,Gasoline (Premium Unleaded Required),GDI (Spark Ignition Direct Injection)
Mercedes-Benz,Mercedes-Benz,AMG SL 63,226,5.5,8,A,7,16,25,19,No,Turbocharged,Automatic,Rear Wheel Drive,Gasoline (Premium Unleaded Required),GDI (Spark Ignition Direct Injection)
Mercedes-Benz,Mercedes-Benz,AMG SL 65,228,6,12,A,7,13,22,16,Guzzler Tax,Turbocharged,Automatic,Rear Wheel Drive,Gasoline (Premium Unleaded Required),MFI (Multipoint/sequential fuel injection)
Mercedes-Benz,Mercedes-Benz,AMG SLC 43,239,3,6,A,9,20,29,23,No,Turbocharged,Automatic,Rear Wheel Drive,Gasoline (Premium Unleaded Required),GDI (Spark Ignition Direct Injection)
Mercedes-Benz,Mercedes-Benz,SL 450,223,3,6,A,9,20,28,23,No,Turbocharged,Automatic,Rear Wheel Drive,Gasoline (Premium Unleaded Required),GDI (Spark Ignition Direct Injection)
Mercedes-Benz,Mercedes-Benz,SL 550,222,4.7,8,A,9,17,25,20,No,Turbocharged,Automatic,Rear Wheel Drive,Gasoline (Premium Unleaded Required),GDI (Spark Ignition Direct Injection)
Mercedes-Benz,Mercedes-Benz,SLC 300,232,2,4,A,9,25,32,27,No,Turbocharged,Automatic,Rear Wheel Drive,Gasoline (Premium Unleaded Required),GDI (Spark Ignition Direct Injection)
Mercedes-Benz,Mercedes-Benz,Smart fortwo (Convertible),55,0.9,3,A,6,33,38,35,No,Turbocharged,Automated Manual,Rear Wheel Drive,Gasoline (Premium Unleaded Required),GDI (Spark Ignition Direct Injection)
Mercedes-Benz,Mercedes-Benz,Smart fortwo (Convertible),703,0.9,3,M,5,31,38,34,No,Turbocharged,Manual,Rear Wheel Drive,Gasoline (Premium Unleaded Required),GDI (Spark Ignition Direct Injection)
Mercedes-Benz,Mercedes-Benz,Smart fortwo (COUPE),56,0.9,3,A,6,33,39,35,No,Turbocharged,Automated Manual,Rear Wheel Drive,Gasoline (Premium Unleaded Required),GDI (Spark Ignition Direct Injection)
Mercedes-Benz,Mercedes-Benz,Smart fortwo (COUPE),702,0.9,3,M,5,31,39,34,No,Turbocharged,Manual,Rear Wheel Drive,Gasoline (Premium Unleaded Required),GDI (Spark Ignition Direct Injection)
Nissan,Nissan,370Z,56,3.7,6,A,7,19,26,22,No,Naturally Aspirated,Automatic - Selectable,Rear Wheel Drive,Gasoline (Premium Unleaded Required),MFI (Multipoint/sequential fuel injection)
Nissan,Nissan,370Z,57,3.7,6,M,6,18,26,21,No,Naturally Aspirated,Manual,Rear Wheel Drive,Gasoline (Premium Unleaded Required),MFI (Multipoint/sequential fuel injection)
Nissan,Nissan,370Z Roadster,58,3.7,6,A,7,18,25,21,No,Naturally Aspirated,Automatic - Selectable,Rear Wheel Drive,Gasoline (Premium Unleaded Required),MFI (Multipoint/sequential fuel injection)
Nissan,Nissan,370Z Roadster,59,3.7,6,M,6,17,24,20,No,Naturally Aspirated,Manual,Rear Wheel Drive,Gasoline (Premium Unleaded Required),MFI (Multipoint/sequential fuel injection)
Porsche,Porsche,Boxster,202,2,4,A,7,22,29,25,No,Turbocharged,Automated Manual,Rear Wheel Drive,Gasoline (Premium Unleaded Required),GDI (Spark Ignition Direct Injection)
Porsche,Porsche,Boxster,201,2,4,M,6,21,28,24,No,Turbocharged,Manual,Rear Wheel Drive,Gasoline (Premium Unleaded Required),GDI (Spark Ignition Direct Injection)
Porsche,Porsche,Boxster S,222,2.5,4,A,7,21,28,24,No,Turbocharged,Automated Manual,Rear Wheel Drive,Gasoline (Premium Unleaded Required),GDI (Spark Ignition Direct Injection)
Porsche,Porsche,Boxster S,221,2.5,4,M,6,20,26,22,No,Turbocharged,Manual,Rear Wheel Drive,Gasoline (Premium Unleaded Required),GDI (Spark Ignition Direct Injection)
Aston Martin,Aston Martin,"Vanquish, S and Zagato",4,6,12,A,8,13,21,16,Guzzler Tax,Naturally Aspirated,Automatic - Selectable,Rear Wheel Drive,Gasoline (Premium Unleaded Recommended),MFI (Multipoint/sequential fuel injection)
Ferrari,Ferrari,California T,250,3.9,8,A,7,16,23,19,No,Turbocharged,Automated Manual,Rear Wheel Drive,Gasoline (Premium Unleaded Required),GDI (Spark Ignition Direct Injection)
Ferrari,Ferrari,California T,249,3.9,8,A,7,16,23,18,No,Turbocharged,Automated Manual,Rear Wheel Drive,Gasoline (Premium Unleaded Required),GDI (Spark Ignition Direct Injection)
Ferrari,Ferrari,GTC4Lusso,152,6.3,12,A,7,12,17,13,Guzzler Tax,Naturally Aspirated,Automated Manual,4 Wheel Drive,Gasoline (Premium Unleaded Required),GDI (Spark Ignition Direct Injection)
FCA US LLC,Fiat,500,12,1.4,4,A,6,27,33,29,No,Naturally Aspirated,Automatic,Front Wheel Drive,Gasoline (Premium Unleaded Recommended),MFI (Multipoint/sequential fuel injection)
FCA US LLC,Fiat,500,14,1.4,4,A,6,24,32,27,No,Turbocharged,Automatic,Front Wheel Drive,Gasoline (Premium Unleaded Recommended),MFI (Multipoint/sequential fuel injection)
FCA US LLC,Fiat,500,13,1.4,4,M,5,31,38,34,No,Naturally Aspirated,Manual,Front Wheel Drive,Gasoline (Premium Unleaded Recommended),MFI (Multipoint/sequential fuel injection)
FCA US LLC,Fiat,500,15,1.4,4,M,5,28,33,30,No,Turbocharged,Manual,Front Wheel Drive,Gasoline (Premium Unleaded Recommended),MFI (Multipoint/sequential fuel injection)
FCA US LLC,Fiat,500 Abarth,16,1.4,4,A,6,24,32,27,No,Turbocharged,Automatic,Front Wheel Drive,Gasoline (Premium Unleaded Recommended),MFI (Multipoint/sequential fuel injection)
FCA US LLC,Fiat,500 Abarth,17,1.4,4,M,5,28,33,30,No,Turbocharged,Manual,Front Wheel Drive,Gasoline (Premium Unleaded Recommended),MFI (Multipoint/sequential fuel injection)
Lotus,Lotus,Evora,8,3.5,6,A,6,17,24,20,No,Supercharged,Automatic - Selectable,Rear Wheel Drive,Gasoline (Premium Unleaded Recommended),MFI (Multipoint/sequential fuel injection)
Lotus,Lotus,Evora,7,3.5,6,M,6,16,24,19,No,Supercharged,Manual,Rear Wheel Drive,Gasoline (Premium Unleaded Recommended),MFI (Multipoint/sequential fuel injection)
BMW,Mini,JOHN COOPER WORKS CONVERTIBLE,82,2,4,A,6,24,32,27,No,Turbocharged,Automatic - Selectable,Front Wheel Drive,Gasoline (Premium Unleaded Recommended),GDI (Spark Ignition Direct Injection)
BMW,Mini,JOHN COOPER WORKS CONVERTIBLE,83,2,4,M,6,22,31,25,No,Turbocharged,Manual,Front Wheel Drive,Gasoline (Premium Unleaded Recommended),GDI (Spark Ignition Direct Injection)
BMW,Mini,MINI COOPER CONVERTIBLE,36,1.5,3,A,6,27,36,30,No,Turbocharged,Automatic - Selectable,Front Wheel Drive,Gasoline (Premium Unleaded Recommended),GDI (Spark Ignition Direct Injection)
BMW,Mini,MINI COOPER CONVERTIBLE,37,1.5,3,M,6,28,37,32,No,Turbocharged,Manual,Front Wheel Drive,Gasoline (Premium Unleaded Recommended),GDI (Spark Ignition Direct Injection)
BMW,Mini,Mini Cooper S Convertible,58,2,4,A,6,25,33,28,No,Turbocharged,Automatic - Selectable,Front Wheel Drive,Gasoline (Premium Unleaded Recommended),GDI (Spark Ignition Direct Injection)
BMW,Mini,Mini Cooper S Convertible,59,2,4,M,6,23,32,26,No,Turbocharged,Manual,Front Wheel Drive,Gasoline (Premium Unleaded Recommended),GDI (Spark Ignition Direct Injection)
Porsche,Porsche,911 Carrera,102,3,6,A,7,22,30,25,No,Turbocharged,Automated Manual,Rear Wheel Drive,Gasoline (Premium Unleaded Required),GDI (Spark Ignition Direct Injection)
Porsche,Porsche,911 Carrera,101,3,6,M,7,20,29,23,No,Turbocharged,Manual,Rear Wheel Drive,Gasoline (Premium Unleaded Required),GDI (Spark Ignition Direct Injection)
Porsche,Porsche,911 Carrera 4,110,3,6,A,7,22,28,24,No,Turbocharged,Automated Manual,4 Wheel Drive,Gasoline (Premium Unleaded Required),GDI (Spark Ignition Direct Injection)
Porsche,Porsche,911 Carrera 4,109,3,6,M,7,20,28,23,No,Turbocharged,Manual,4 Wheel Drive,Gasoline (Premium Unleaded Required),GDI (Spark Ignition Direct Injection)
Porsche,Porsche,911 Carrera 4 Cabriolet,112,3,6,A,7,21,28,24,No,Turbocharged,Automated Manual,4 Wheel Drive,Gasoline (Premium Unleaded Required),GDI (Spark Ignition Direct Injection)
Porsche,Porsche,911 Carrera 4 Cabriolet,111,3,6,M,7,19,28,22,No,Turbocharged,Manual,4 Wheel Drive,Gasoline (Premium Unleaded Required),GDI (Spark Ignition Direct Injection)
Porsche,Porsche,911 Carrera 4 GTS,126,3,6,A,7,20,26,22,No,Turbocharged,Automated Manual,4 Wheel Drive,Gasoline (Premium Unleaded Required),GDI (Spark Ignition Direct Injection)
Porsche,Porsche,911 Carrera 4 GTS,125,3,6,M,7,18,26,21,No,Turbocharged,Manual,4 Wheel Drive,Gasoline (Premium Unleaded Required),GDI (Spark Ignition Direct Injection)
Porsche,Porsche,911 Carrera 4 GTS Cabriolet,128,3,6,A,7,20,25,22,No,Turbocharged,Automated Manual,4 Wheel Drive,Gasoline (Premium Unleaded Required),GDI (Spark Ignition Direct Injection)
Porsche,Porsche,911 Carrera 4 GTS Cabriolet,127,3,6,M,7,18,26,21,No,Turbocharged,Manual,4 Wheel Drive,Gasoline (Premium Unleaded Required),GDI (Spark Ignition Direct Injection)
Porsche,Porsche,911 Carrera 4S,114,3,6,A,7,21,28,24,No,Turbocharged,Automated Manual,4 Wheel Drive,Gasoline (Premium Unleaded Required),GDI (Spark Ignition Direct Injection)
Porsche,Porsche,911 Carrera 4S,113,3,6,M,7,20,28,23,No,Turbocharged,Manual,4 Wheel Drive,Gasoline (Premium Unleaded Required),GDI (Spark Ignition Direct Injection)
Porsche,Porsche,911 Carrera 4S Cabriolet,116,3,6,A,7,21,28,24,No,Turbocharged,Automated Manual,4 Wheel Drive,Gasoline (Premium Unleaded Required),GDI (Spark Ignition Direct Injection)
Porsche,Porsche,911 Carrera 4S Cabriolet,115,3,6,M,7,19,28,22,No,Turbocharged,Manual,4 Wheel Drive,Gasoline (Premium Unleaded Required),GDI (Spark Ignition Direct Injection)
Porsche,Porsche,911 Carrera Cabriolet,104,3,6,A,7,22,28,24,No,Turbocharged,Automated Manual,Rear Wheel Drive,Gasoline (Premium Unleaded Required),GDI (Spark Ignition Direct Injection)
Porsche,Porsche,911 Carrera Cabriolet,103,3,6,M,7,20,29,23,No,Turbocharged,Manual,Rear Wheel Drive,Gasoline (Premium Unleaded Required),GDI (Spark Ignition Direct Injection)
Porsche,Porsche,911 Carrera GTS,122,3,6,A,7,20,26,23,No,Turbocharged,Automated Manual,Rear Wheel Drive,Gasoline (Premium Unleaded Required),GDI (Spark Ignition Direct Injection)
Porsche,Porsche,911 Carrera GTS,121,3,6,M,7,18,26,21,No,Turbocharged,Manual,Rear Wheel Drive,Gasoline (Premium Unleaded Required),GDI (Spark Ignition Direct Injection)
Porsche,Porsche,911 Carrera GTS Cabriolet,124,3,6,A,7,20,26,22,No,Turbocharged,Automated Manual,Rear Wheel Drive,Gasoline (Premium Unleaded Required),GDI (Spark Ignition Direct Injection)
Porsche,Porsche,911 Carrera GTS Cabriolet,123,3,6,M,7,18,26,21,No,Turbocharged,Manual,Rear Wheel Drive,Gasoline (Premium Unleaded Required),GDI (Spark Ignition Direct Injection)
Porsche,Porsche,911 Carrera S,106,3,6,A,7,22,28,24,No,Turbocharged,Automated Manual,Rear Wheel Drive,Gasoline (Premium Unleaded Required),GDI (Spark Ignition Direct Injection)
Porsche,Porsche,911 Carrera S,105,3,6,M,7,20,29,23,No,Turbocharged,Manual,Rear Wheel Drive,Gasoline (Premium Unleaded Required),GDI (Spark Ignition Direct Injection)
Porsche,Porsche,911 Carrera S Cabriolet,108,3,6,A,7,22,28,24,No,Turbocharged,Automated Manual,Rear Wheel Drive,Gasoline (Premium Unleaded Required),GDI (Spark Ignition Direct Injection)
Porsche,Porsche,911 Carrera S Cabriolet,107,3,6,M,7,20,28,23,No,Turbocharged,Manual,Rear Wheel Drive,Gasoline (Premium Unleaded Required),GDI (Spark Ignition Direct Injection)
Porsche,Porsche,911 Targa 4,118,3,6,A,7,22,28,24,No,Turbocharged,Automated Manual,4 Wheel Drive,Gasoline (Premium Unleaded Required),GDI (Spark Ignition Direct Injection)
Porsche,Porsche,911 Targa 4,117,3,6,M,7,19,28,22,No,Turbocharged,Manual,4 Wheel Drive,Gasoline (Premium Unleaded Required),GDI (Spark Ignition Direct Injection)
Porsche,Porsche,911 Targa 4 GTS,130,3,6,A,7,20,26,22,No,Turbocharged,Automated Manual,4 Wheel Drive,Gasoline (Premium Unleaded Required),GDI (Spark Ignition Direct Injection)
Porsche,Porsche,911 Targa 4 GTS,129,3,6,M,7,18,26,21,No,Turbocharged,Manual,4 Wheel Drive,Gasoline (Premium Unleaded Required),GDI (Spark Ignition Direct Injection)
Porsche,Porsche,911 Targa 4S,120,3,6,A,7,21,27,24,No,Turbocharged,Automated Manual,4 Wheel Drive,Gasoline (Premium Unleaded Required),GDI (Spark Ignition Direct Injection)
Porsche,Porsche,911 Targa 4S,119,3,6,M,7,19,28,22,No,Turbocharged,Manual,4 Wheel Drive,Gasoline (Premium Unleaded Required),GDI (Spark Ignition Direct Injection)
Porsche,Porsche,911 Turbo,521,3.8,6,A,7,19,24,21,No,Turbocharged,Automated Manual,All Wheel Drive,Gasoline (Premium Unleaded Required),GDI (Spark Ignition Direct Injection)
Porsche,Porsche,911 Turbo Cabriolet,522,3.8,6,A,7,19,24,21,No,Turbocharged,Automated Manual,All Wheel Drive,Gasoline (Premium Unleaded Required),GDI (Spark Ignition Direct Injection)
Porsche,Porsche,911 Turbo S,523,3.8,6,A,7,19,24,21,No,Turbocharged,Automated Manual,All Wheel Drive,Gasoline (Premium Unleaded Required),GDI (Spark Ignition Direct Injection)
Porsche,Porsche,911 Turbo S Cabriolet,524,3.8,6,A,7,19,24,21,No,Turbocharged,Automated Manual,All Wheel Drive,Gasoline (Premium Unleaded Required),GDI (Spark Ignition Direct Injection)
Subaru,Subaru,BRZ,2,2,4,A,6,24,33,27,No,Naturally Aspirated,Automatic - Selectable,Rear Wheel Drive,Gasoline (Premium Unleaded Required),GDPI (Spark Ignition direct & ported injection)
Subaru,Subaru,BRZ,1,2,4,M,6,21,29,24,No,Naturally Aspirated,Manual,Rear Wheel Drive,Gasoline (Premium Unleaded Required),GDPI (Spark Ignition direct & ported injection)
Toyota,Toyota,86,116,2,4,A,6,24,32,27,No,Naturally Aspirated,Automatic - Selectable,Rear Wheel Drive,Gasoline (Premium Unleaded Required),GDPI (Spark Ignition direct & ported injection)
Toyota,Toyota,86,115,2,4,M,6,21,28,24,No,Naturally Aspirated,Manual,Rear Wheel Drive,Gasoline (Premium Unleaded Required),GDPI (Spark Ignition direct & ported injection)
Aston Martin,Aston Martin,Rapide S,5,6,12,A,8,14,21,17,Guzzler Tax,Naturally Aspirated,Automatic - Selectable,Rear Wheel Drive,Gasoline (Premium Unleaded Recommended),MFI (Multipoint/sequential fuel injection)
Volkswagen Group,Audi,A3,83,2,4,A,7,26,35,29,No,Turbocharged,Automated Manual,Front Wheel Drive,Gasoline (Regular Unleaded Recommended),GDI (Spark Ignition Direct Injection)
Volkswagen Group,Audi,A3 Cabriolet,84,2,4,A,7,25,34,28,No,Turbocharged,Automated Manual,Front Wheel Drive,Gasoline (Regular Unleaded Recommended),GDI (Spark Ignition Direct Injection)
Volkswagen Group,Audi,A3 Cabriolet quattro,74,2,4,A,6,22,30,25,No,Turbocharged,Automated Manual,All Wheel Drive,Gasoline (Regular Unleaded Recommended),GDI (Spark Ignition Direct Injection)
Volkswagen Group,Audi,A3 quattro,60,2,4,A,6,24,31,27,No,Turbocharged,Automated Manual,All Wheel Drive,Gasoline (Regular Unleaded Recommended),GDI (Spark Ignition Direct Injection)
Volkswagen Group,Audi,A5 Cabriolet quattro,54,2,4,A,8,21,29,24,No,Turbocharged,Automatic - Selectable,All Wheel Drive,Gasoline (Premium Unleaded Recommended),GDI (Spark Ignition Direct Injection)
Volkswagen Group,Audi,A5 quattro,53,2,4,A,8,22,30,25,No,Turbocharged,Automatic - Selectable,All Wheel Drive,Gasoline (Premium Unleaded Recommended),GDI (Spark Ignition Direct Injection)
Volkswagen Group,Audi,A5 quattro,52,2,4,M,6,23,32,26,No,Turbocharged,Manual,All Wheel Drive,Gasoline (Premium Unleaded Recommended),GDI (Spark Ignition Direct Injection)
Volkswagen Group,Audi,RS3,101,2.5,5,A,7,19,28,22,No,Turbocharged,Automated Manual,All Wheel Drive,Gasoline (Premium Unleaded Recommended),GDI (Spark Ignition Direct Injection)
